ENSG	ENST	CDS_LENGTH	ID	chr
ENSG00000103018	ENST00000307892	453	CYB5B	16
ENSG00000103021	ENST00000219299	1134	CCDC113	16
ENSG00000103023	ENST00000219301	1188	PRSS54	16
ENSG00000103024	ENST00000219302	510	NME3	16
ENSG00000103034	ENST00000394282	1176	NDRG4	16
ENSG00000103035	ENST00000219313	975	PSMD7	16
ENSG00000103037	ENST00000219315	1422	SETD6	16
ENSG00000103042	ENST00000219320	1389	SLC38A7	16
ENSG00000103043	ENST00000261776	2349	VAC14	16
ENSG00000103044	ENST00000306560	1662	HAS3	16
ENSG00000103047	ENST00000261778	3285	TMCO7	16
ENSG00000103051	ENST00000323786	2370	COG4	16
ENSG00000103056	ENST00000219334	1968	SMPD3	16
ENSG00000103061	ENST00000263997	930	SLC7A6OS	16
ENSG00000103064	ENST00000219343	1548	SLC7A6	16
ENSG00000103066	ENST00000219345	1239	PLA2G15	16
ENSG00000103067	ENST00000565858	2184	ESRP2	16
ENSG00000103089	ENST00000219368	1119	FA2H	16
ENSG00000103091	ENST00000262144	2925	WDR59	16
ENSG00000103111	ENST00000248248	1644	MON1B	16
ENSG00000103121	ENST00000570195	282	CMC2	16
ENSG00000103126	ENST00000262320	2589	AXIN1	16
ENSG00000103145	ENST00000248089	417	HCFC1R1	16
ENSG00000103148	ENST00000399953	1707	NPRL3	16
ENSG00000103150	ENST00000262430	1482	MLYCD	16
ENSG00000103152	ENST00000219431	897	MPG	16
ENSG00000103154	ENST00000305202	1161	NECAB2	16
ENSG00000103160	ENST00000219439	993	HSDL1	16
ENSG00000103168	ENST00000378541	2610	TAF1C	16
ENSG00000103174	ENST00000312251	1548	NAGPA	16
ENSG00000103175	ENST00000219454	663	WFDC1	16
ENSG00000103184	ENST00000251170	2091	SEC14L5	16
ENSG00000103187	ENST00000262428	429	COTL1	16
ENSG00000103194	ENST00000570191	2409	USP10	16
ENSG00000103196	ENST00000262424	1494	CRISPLD2	16
ENSG00000103197	ENST00000219476	5424	TSC2	16
ENSG00000103199	ENST00000219478	1443	ZNF500	16
ENSG00000103202	ENST00000444498	702	NME4	16
ENSG00000103222	ENST00000399408	4626	ABCC1	16
ENSG00000103226	ENST00000263012	3804	NOMO3	16
ENSG00000103227	ENST00000262301	1704	LMF1	16
ENSG00000103241	ENST00000262426	1140	FOXF1	16
ENSG00000103245	ENST00000251588	1431	NARFL	16
ENSG00000103248	ENST00000360900	1152	MTHFSD	16
ENSG00000103249	ENST00000262318	2706	CLCN7	16
ENSG00000103253	ENST00000341413	873	HAGHL	16
ENSG00000103254	ENST00000569529	708	FAM173A	16
ENSG00000103257	ENST00000261622	1524	SLC7A5	16
ENSG00000103260	ENST00000568223	882	METRN	16
ENSG00000103264	ENST00000311635	1620	FBXO31	16
ENSG00000103266	ENST00000219548	912	STUB1	16
ENSG00000103269	ENST00000219551	1317	RHBDL1	16
ENSG00000103274	ENST00000283027	963	NUBP1	16
ENSG00000103275	ENST00000402301	555	UBE2I	16
ENSG00000103310	ENST00000219593	2238	ZP2	16
ENSG00000103313	ENST00000219596	2346	MEFV	16
ENSG00000103316	ENST00000219599	945	CRYM	16
ENSG00000103319	ENST00000263026	2178	EEF2K	16
ENSG00000103326	ENST00000219611	3261	SOLH	16
ENSG00000103335	ENST00000301015	7566	PIEZO1	16
ENSG00000103342	ENST00000434724	1914	GSPT1	16
ENSG00000103343	ENST00000268655	1224	ZNF174	16
ENSG00000103351	ENST00000341633	1299	CLUAP1	16
ENSG00000103353	ENST00000219638	1602	UBFD1	16
ENSG00000103355	ENST00000293851	843	PRSS33	16
ENSG00000103356	ENST00000563232	1605	EARS2	16
ENSG00000103363	ENST00000262306	486	TCEB2	16
ENSG00000103365	ENST00000309859	1842	GGA2	16
ENSG00000103375	ENST00000219660	786	AQP8	16
ENSG00000103381	ENST00000381774	945	CPPED1	16
ENSG00000103404	ENST00000219689	4059	USP31	16
ENSG00000103415	ENST00000219700	951	HMOX2	16
ENSG00000103423	ENST00000262375	1443	DNAJA3	16
ENSG00000103426	ENST00000572467	3147	CORO7	16
ENSG00000103429	ENST00000261658	1353	BFAR	16
ENSG00000103449	ENST00000251020	3975	SALL1	16
ENSG00000103460	ENST00000219746	1731	TOX3	16
ENSG00000103479	ENST00000262133	3420	RBL2	16
ENSG00000103485	ENST00000395384	894	QPRT	16
ENSG00000103489	ENST00000261381	2880	XYLT1	16
ENSG00000103490	ENST00000247470	588	PYCARD	16
ENSG00000103494	ENST00000379925	3948	RPGRIP1L	16
ENSG00000103495	ENST00000219782	1482	MAZ	16
ENSG00000103496	ENST00000313843	894	STX4	16
ENSG00000103502	ENST00000561555	714	CDIPT	16
ENSG00000103507	ENST00000219794	1239	BCKDK	16
ENSG00000103510	ENST00000448516	1404	KAT8	16
ENSG00000103512	ENST00000287667	3669	NOMO1	16
ENSG00000103522	ENST00000337929	1617	IL21R	16
ENSG00000103528	ENST00000355377	1425	SYT17	16
ENSG00000103534	ENST00000396229	3021	TMC5	16
ENSG00000103540	ENST00000381396	3039	CCP110	16
ENSG00000103544	ENST00000438132	3159	C16orf62	16
ENSG00000103546	ENST00000219833	1887	SLC6A2	16
ENSG00000103549	ENST00000324685	3006	RNF40	16
ENSG00000103550	ENST00000219837	1377	C16orf88	16
ENSG00000103569	ENST00000219919	888	AQP9	15
ENSG00000103591	ENST00000261880	948	AAGAB	15
ENSG00000103599	ENST00000335894	3084	IQCH	15
ENSG00000103642	ENST00000261893	1644	LACTB	15
ENSG00000103647	ENST00000566799	1443	CORO2B	15
ENSG00000103653	ENST00000220003	1353	CSK	15
ENSG00000103657	ENST00000443617	14586	HERC1	15
ENSG00000103671	ENST00000261884	1746	TRIP4	15
ENSG00000103707	ENST00000220058	1170	MTFMT	15
ENSG00000103710	ENST00000220062	801	RASL12	15
ENSG00000103723	ENST00000535359	3306	AP3B2	15
ENSG00000103740	ENST00000258873	2175	ACSBG1	15
ENSG00000103742	ENST00000352385	3753	IGDCC4	15
ENSG00000103769	ENST00000261890	651	RAB11A	15
ENSG00000103811	ENST00000220166	1008	CTSH	15
ENSG00000103852	ENST00000262074	1344	TTC23	15
ENSG00000103855	ENST00000318443	1605	CD276	15
ENSG00000103876	ENST00000261755	1260	FAH	15
ENSG00000103888	ENST00000220244	4086	KIAA1199	15
ENSG00000103932	ENST00000304330	4182	RPAP1	15
ENSG00000103942	ENST00000304231	1065	HOMER2	15
ENSG00000103966	ENST00000220325	1626	EHD4	15
ENSG00000103978	ENST00000389834	1668	TMEM87A	15
ENSG00000103994	ENST00000263805	5652	ZFP106	15
ENSG00000103995	ENST00000380950	5133	CEP152	15
ENSG00000104043	ENST00000284509	3579	ATP8B4	15
ENSG00000104044	ENST00000354638	2517	OCA2	15
ENSG00000104047	ENST00000251250	915	DTWD1	15
ENSG00000104055	ENST00000220420	2163	TGM5	15
ENSG00000104059	ENST00000261275	1620	FAM189A1	15
ENSG00000104064	ENST00000220429	1188	GABPB1	15
ENSG00000104067	ENST00000356107	5307	TJP1	15
ENSG00000104081	ENST00000354670	555	BMF	15
ENSG00000104093	ENST00000543779	9114	DMXL2	15
ENSG00000104112	ENST00000220478	1407	SCG3	15
ENSG00000104129	ENST00000220496	915	DNAJC17	15
ENSG00000104131	ENST00000261868	777	EIF3J	15
ENSG00000104133	ENST00000261866	7332	SPG11	15
ENSG00000104140	ENST00000220507	711	RHOV	15
ENSG00000104142	ENST00000220509	2922	VPS18	15
ENSG00000104147	ENST00000220514	690	OIP5	15
ENSG00000104154	ENST00000261867	1290	SLC30A4	15
ENSG00000104164	ENST00000565323	534	BLOC1S6	15
ENSG00000104177	ENST00000324324	1803	MYEF2	15
ENSG00000104205	ENST00000262211	1491	SGK3	8
ENSG00000104213	ENST00000251630	1128	PDGFRL	8
ENSG00000104218	ENST00000262210	3666	CSPP1	8
ENSG00000104219	ENST00000262096	1104	ZDHHC2	8
ENSG00000104221	ENST00000220659	1260	BRF2	8
ENSG00000104228	ENST00000305364	1482	TRIM35	8
ENSG00000104231	ENST00000220669	807	ZFAND1	8
ENSG00000104237	ENST00000220676	6471	RP1	8
ENSG00000104267	ENST00000285379	783	CA2	8
ENSG00000104290	ENST00000240093	2001	FZD3	8
ENSG00000104299	ENST00000521022	1977	INTS9	8
ENSG00000104312	ENST00000220751	1623	RIPK2	8
ENSG00000104313	ENST00000340726	1779	EYA1	8
ENSG00000104320	ENST00000265433	2265	NBN	8
ENSG00000104321	ENST00000262209	3360	TRPA1	8
ENSG00000104324	ENST00000220763	1419	CPQ	8
ENSG00000104325	ENST00000220764	1008	DECR1	8
ENSG00000104327	ENST00000265431	786	CALB1	8
ENSG00000104331	ENST00000262644	1080	IMPAD1	8
ENSG00000104332	ENST00000220772	945	SFRP1	8
ENSG00000104341	ENST00000445593	954	LAPTM4B	8
ENSG00000104343	ENST00000419880	489	UBE2W	8
ENSG00000104356	ENST00000349693	3075	POP1	8
ENSG00000104361	ENST00000430223	1152	NIPAL2	8
ENSG00000104365	ENST00000520810	2271	IKBKB	8
ENSG00000104368	ENST00000220809	1689	PLAT	8
ENSG00000104369	ENST00000342232	1986	JPH1	8
ENSG00000104371	ENST00000220812	675	DKK4	8
ENSG00000104375	ENST00000523601	1560	STK3	8
ENSG00000104381	ENST00000220822	1077	GDAP1	8
ENSG00000104388	ENST00000262646	639	RAB2A	8
ENSG00000104408	ENST00000220849	1338	EIF3E	8
ENSG00000104412	ENST00000220853	894	EMC2	8
ENSG00000104413	ENST00000433389	2046	ESRP1	8
ENSG00000104415	ENST00000250160	1104	WISP1	8
ENSG00000104419	ENST00000323851	1185	NDRG1	8
ENSG00000104427	ENST00000263849	978	ZC2HC1A	8
ENSG00000104432	ENST00000263851	534	IL7	8
ENSG00000104435	ENST00000518111	564	STMN2	8
ENSG00000104442	ENST00000276569	849	ARMC1	8
ENSG00000104447	ENST00000395715	3885	TRPS1	8
ENSG00000104450	ENST00000251809	2781	SPAG1	8
ENSG00000104472	ENST00000220913	396	CHRAC1	8
ENSG00000104490	ENST00000522951	585	NCALD	8
ENSG00000104497	ENST00000345957	1035	SNX16	8
ENSG00000104499	ENST00000220940	477	GML	8
ENSG00000104517	ENST00000520539	8400	UBR5	8
ENSG00000104518	ENST00000533063	1599	GSDMD	8
ENSG00000104522	ENST00000425753	966	TSTA3	8
ENSG00000104524	ENST00000220966	861	PYCRL	8
ENSG00000104529	ENST00000532741	2094	EEF1D	8
ENSG00000104537	ENST00000262219	1074	ANXA13	8
ENSG00000104549	ENST00000265896	1725	SQLE	8
ENSG00000104611	ENST00000265807	1365	SH2D4A	8
ENSG00000104613	ENST00000397977	2133	INTS10	8
ENSG00000104626	ENST00000250263	1050	ERI1	8
ENSG00000104635	ENST00000289952	1479	SLC39A14	8
ENSG00000104643	ENST00000221086	1650	MTMR9	8
ENSG00000104660	ENST00000523116	510	LEPROTL1	8
ENSG00000104671	ENST00000221114	573	DCTN6	8
ENSG00000104679	ENST00000411463	1443	R3HCC1	8
ENSG00000104687	ENST00000221130	1569	GSR	8
ENSG00000104689	ENST00000221132	1407	TNFRSF10A	8
ENSG00000104695	ENST00000221138	930	PPP2CB	8
ENSG00000104714	ENST00000262109	1332	ERICH1	8
ENSG00000104722	ENST00000221166	2751	NEFM	8
ENSG00000104723	ENST00000351598	1047	TUSC3	8
ENSG00000104728	ENST00000398564	4110	ARHGEF10	8
ENSG00000104731	ENST00000270583	1563	KLHDC4	16
ENSG00000104738	ENST00000262105	2592	MCM4	8
ENSG00000104755	ENST00000265708	2208	ADAM2	8
ENSG00000104756	ENST00000221200	1170	KCTD9	8
ENSG00000104760	ENST00000221204	939	FGL1	8
ENSG00000104763	ENST00000381733	1236	ASAH1	8
ENSG00000104765	ENST00000380629	660	BNIP3L	8
ENSG00000104774	ENST00000456935	3036	MAN2B1	19
ENSG00000104783	ENST00000262888	1284	KCNN4	19
ENSG00000104804	ENST00000221399	1563	TULP2	19
ENSG00000104805	ENST00000263273	1386	NUCB1	19
ENSG00000104808	ENST00000221403	1005	DHDH	19
ENSG00000104812	ENST00000323798	2214	GYS1	19
ENSG00000104814	ENST00000591517	2502	MAP4K1	19
ENSG00000104818	ENST00000359342	492	CGB2	19
ENSG00000104823	ENST00000221418	987	ECH1	19
ENSG00000104824	ENST00000221419	1770	HNRNPL	19
ENSG00000104825	ENST00000313582	1071	NFKBIB	19
ENSG00000104826	ENST00000221421	426	LHB	19
ENSG00000104827	ENST00000357383	498	CGB	19
ENSG00000104833	ENST00000264071	1335	TUBB4A	19
ENSG00000104835	ENST00000430193	1563	FBXO17	19
ENSG00000104848	ENST00000221444	1371	KCNA7	19
ENSG00000104852	ENST00000221448	1314	SNRNP70	19
ENSG00000104853	ENST00000337392	2010	CLPTM1	19
ENSG00000104856	ENST00000221452	1740	RELB	19
ENSG00000104859	ENST00000221455	2025	CLASRP	19
ENSG00000104863	ENST00000221459	624	LIN7B	19
ENSG00000104866	ENST00000221462	2076	PPP1R37	19
ENSG00000104870	ENST00000221466	1098	FCGRT	19
ENSG00000104872	ENST00000262265	873	PIH1D1	19
ENSG00000104879	ENST00000221476	1146	CKM	19
ENSG00000104880	ENST00000359920	3522	ARHGEF18	19
ENSG00000104881	ENST00000360957	2487	PPP1R13L	19
ENSG00000104883	ENST00000221480	726	PEX11G	19
ENSG00000104884	ENST00000391945	2283	ERCC2	19
ENSG00000104885	ENST00000398665	4614	DOT1L	19
ENSG00000104886	ENST00000587394	834	PLEKHJ1	19
ENSG00000104888	ENST00000221485	1683	SLC17A7	19
ENSG00000104889	ENST00000221486	900	RNASEH2A	19
ENSG00000104892	ENST00000470402	1557	KLC3	19
ENSG00000104894	ENST00000323906	846	CD37	19
ENSG00000104897	ENST00000221494	1395	SF3A2	19
ENSG00000104899	ENST00000221496	1683	AMH	19
ENSG00000104901	ENST00000221498	729	DKKL1	19
ENSG00000104903	ENST00000264824	843	LYL1	19
ENSG00000104904	ENST00000583542	708	OAZ1	19
ENSG00000104907	ENST00000357720	1980	TRMT1	19
ENSG00000104915	ENST00000587230	750	STX10	19
ENSG00000104918	ENST00000221515	327	RETN	19
ENSG00000104921	ENST00000346664	966	FCER2	19
ENSG00000104936	ENST00000343373	1920	DMPK	19
ENSG00000104938	ENST00000327325	1200	CLEC4M	19
ENSG00000104941	ENST00000221538	2154	RSPH6A	19
ENSG00000104946	ENST00000221543	1947	TBC1D17	19
ENSG00000104951	ENST00000341114	1770	IL4I1	19
ENSG00000104953	ENST00000246112	1719	TLE6	19
ENSG00000104957	ENST00000221554	1191	CCDC130	19
ENSG00000104960	ENST00000391842	1251	PTOV1	19
ENSG00000104964	ENST00000221561	795	AES	19
ENSG00000104967	ENST00000263257	1479	NOVA2	19
ENSG00000104969	ENST00000221566	942	SGTA	19
ENSG00000104970	ENST00000335056	1098	KIR3DX1	19
ENSG00000104972	ENST00000427581	2106	LILRB1	19
ENSG00000104973	ENST00000312865	2244	MED25	19
ENSG00000104974	ENST00000251372	1470	LILRA1	19
ENSG00000104976	ENST00000221573	1005	SNAPC2	19
ENSG00000104979	ENST00000588234	300	C19orf53	19
ENSG00000104980	ENST00000270538	1359	TIMM44	19
ENSG00000104983	ENST00000263284	1596	CCDC61	19
ENSG00000104998	ENST00000263379	1911	IL27RA	19
ENSG00000105011	ENST00000263382	609	ASF1B	19
ENSG00000105048	ENST00000588981	837	TNNT1	19
ENSG00000105053	ENST00000316763	1425	VRK3	19
ENSG00000105058	ENST00000263384	339	FAM32A	19
ENSG00000105063	ENST00000412770	2646	PPP6R1	19
ENSG00000105072	ENST00000221671	1974	C19orf44	19
ENSG00000105085	ENST00000263390	1803	MED26	19
ENSG00000105088	ENST00000264833	1365	OLFM2	19
ENSG00000105122	ENST00000343625	3036	RASAL3	19
ENSG00000105127	ENST00000269701	2079	AKAP8	19
ENSG00000105131	ENST00000221730	1083	EPHX3	19
ENSG00000105135	ENST00000263383	1899	ILVBL	19
ENSG00000105136	ENST00000424930	1536	ZNF419	19
ENSG00000105137	ENST00000342784	2208	SYDE1	19
ENSG00000105141	ENST00000221740	729	CASP14	19
ENSG00000105143	ENST00000221742	1695	SLC1A6	19
ENSG00000105146	ENST00000302804	930	AURKC	19
ENSG00000105171	ENST00000585603	663	POP4	19
ENSG00000105173	ENST00000262643	1233	CCNE1	19
ENSG00000105176	ENST00000542441	1608	URI1	19
ENSG00000105185	ENST00000419343	390	PDCD5	19
ENSG00000105186	ENST00000306065	3153	ANKRD27	19
ENSG00000105193	ENST00000339471	459	RPS16	19
ENSG00000105197	ENST00000314349	1371	TIMM50	19
ENSG00000105198	ENST00000221797	420	LGALS13	19
ENSG00000105202	ENST00000221801	966	FBL	19
ENSG00000105204	ENST00000323039	1890	DYRK1B	19
ENSG00000105205	ENST00000221804	429	CLC	19
ENSG00000105219	ENST00000430325	924	CNTD2	19
ENSG00000105220	ENST00000415930	1710	GPI	19
ENSG00000105221	ENST00000392038	1446	AKT2	19
ENSG00000105223	ENST00000356508	1473	PLD3	19
ENSG00000105227	ENST00000324001	4386	PRX	19
ENSG00000105229	ENST00000262971	1533	PIAS4	19
ENSG00000105245	ENST00000252891	1830	NUMBL	19
ENSG00000105246	ENST00000221847	690	EBI3	19
ENSG00000105248	ENST00000262962	972	CCDC94	19
ENSG00000105251	ENST00000543264	1023	SHD	19
ENSG00000105254	ENST00000221855	735	TBCB	19
ENSG00000105255	ENST00000221856	1491	FSD1	19
ENSG00000105258	ENST00000221859	378	POLR2I	19
ENSG00000105261	ENST00000262637	756	OVOL3	19
ENSG00000105270	ENST00000360535	1644	CLIP3	19
ENSG00000105278	ENST00000262961	2820	ZFR2	19
ENSG00000105281	ENST00000542575	1626	SLC1A5	19
ENSG00000105287	ENST00000291281	2637	PRKD2	19
ENSG00000105289	ENST00000262968	2859	TJP3	19
ENSG00000105290	ENST00000221891	1956	APLP1	19
ENSG00000105298	ENST00000221899	2604	CACTIN	19
ENSG00000105321	ENST00000221922	1596	CCDC9	19
ENSG00000105323	ENST00000392006	2571	HNRNPUL1	19
ENSG00000105325	ENST00000395095	1491	FZR1	19
ENSG00000105327	ENST00000449228	786	BBC3	19
ENSG00000105329	ENST00000221930	1173	TGFB1	19
ENSG00000105339	ENST00000519811	3837	DENND3	8
ENSG00000105341	ENST00000417807	792	ATP5SL	19
ENSG00000105352	ENST00000221954	735	CEACAM4	19
ENSG00000105355	ENST00000221957	1305	PLIN3	19
ENSG00000105357	ENST00000262269	6111	MYH14	19
ENSG00000105364	ENST00000393733	1074	MRPL4	19
ENSG00000105366	ENST00000321424	1500	SIGLEC8	19
ENSG00000105369	ENST00000221972	681	CD79A	19
ENSG00000105370	ENST00000221973	648	LIM2	19
ENSG00000105371	ENST00000340992	819	ICAM4	19
ENSG00000105372	ENST00000221975	438	RPS19	19
ENSG00000105373	ENST00000246802	1437	GLTSCR2	19
ENSG00000105374	ENST00000221978	498	NKG7	19
ENSG00000105376	ENST00000221980	2775	ICAM5	19
ENSG00000105379	ENST00000354232	1041	ETFB	19
ENSG00000105383	ENST00000262262	1095	CD33	19
ENSG00000105388	ENST00000221992	2109	CEACAM5	19
ENSG00000105392	ENST00000535362	981	CRX	19
ENSG00000105393	ENST00000359435	990	BABAM1	19
ENSG00000105397	ENST00000264818	3564	TYK2	19
ENSG00000105398	ENST00000222002	858	SULT2A1	19
ENSG00000105401	ENST00000222005	1137	CDC37	19
ENSG00000105402	ENST00000263354	888	NAPA	19
ENSG00000105404	ENST00000222008	558	RABAC1	19
ENSG00000105409	ENST00000441343	3680	ATP1A3	19
ENSG00000105419	ENST00000561096	1392	MEIS3	19
ENSG00000105426	ENST00000372412	5850	PTPRS	19
ENSG00000105427	ENST00000222032	339	CNFN	19
ENSG00000105428	ENST00000222033	1290	ZNRF4	19
ENSG00000105429	ENST00000251268	8538	MEGF8	19
ENSG00000105438	ENST00000330720	639	KDELR1	19
ENSG00000105443	ENST00000427476	1203	CYTH2	19
ENSG00000105447	ENST00000253237	1341	GRWD1	19
ENSG00000105464	ENST00000263269	4011	GRIN2D	19
ENSG00000105467	ENST00000344846	705	SYNGR4	19
ENSG00000105472	ENST00000250340	972	CLEC11A	19
ENSG00000105479	ENST00000315396	2013	CCDC114	19
ENSG00000105483	ENST00000391898	1614	CARD8	19
ENSG00000105486	ENST00000263274	2760	LIG1	19
ENSG00000105492	ENST00000425629	1362	SIGLEC6	19
ENSG00000105497	ENST00000262259	2136	ZNF175	19
ENSG00000105499	ENST00000413144	1626	PLA2G4C	19
ENSG00000105501	ENST00000222107	1656	SIGLEC5	19
ENSG00000105507	ENST00000293255	522	CABP5	19
ENSG00000105509	ENST00000222115	1737	HAS1	19
ENSG00000105514	ENST00000222120	660	RAB3D	19
ENSG00000105516	ENST00000222122	978	DBP	19
ENSG00000105518	ENST00000354882	570	TMEM205	19
ENSG00000105519	ENST00000588776	828	CAPS	19
ENSG00000105520	ENST00000591608	1284	LPPR2	19
ENSG00000105523	ENST00000263266	1437	FAM83E	19
ENSG00000105538	ENST00000222145	2892	RASIP1	19
ENSG00000105549	ENST00000342640	1140	THEG	19
ENSG00000105550	ENST00000222157	630	FGF21	19
ENSG00000105552	ENST00000316273	1179	BCAT2	19
ENSG00000105556	ENST00000264819	1638	MIER2	19
ENSG00000105559	ENST00000263265	2340	PLEKHA4	19
ENSG00000105568	ENST00000322088	1770	PPP2R1A	19
ENSG00000105576	ENST00000425528	2694	TNPO2	19
ENSG00000105583	ENST00000222190	321	WDR83OS	19
ENSG00000105605	ENST00000222212	828	CACNG7	19
ENSG00000105607	ENST00000222214	1317	GCDH	19
ENSG00000105609	ENST00000450632	1869	LILRB5	19
ENSG00000105610	ENST00000264834	1089	KLF1	19
ENSG00000105612	ENST00000222219	1083	DNASE2	19
ENSG00000105613	ENST00000251472	4713	MAST1	19
ENSG00000105617	ENST00000222224	795	LENG1	19
ENSG00000105618	ENST00000321030	1500	PRPF31	19
ENSG00000105619	ENST00000391759	762	TFPT	19
ENSG00000105639	ENST00000458235	3375	JAK3	19
ENSG00000105640	ENST00000222247	531	RPL18A	19
ENSG00000105641	ENST00000222248	1932	SLC5A5	19
ENSG00000105642	ENST00000222249	1683	KCNN1	19
ENSG00000105643	ENST00000222250	1224	ARRDC2	19
ENSG00000105647	ENST00000222254	2187	PIK3R2	19
ENSG00000105649	ENST00000222256	663	RAB3A	19
ENSG00000105650	ENST00000355502	2139	PDE4C	19
ENSG00000105655	ENST00000338128	1677	ISYNA1	19
ENSG00000105656	ENST00000262809	1866	ELL	19
ENSG00000105662	ENST00000338797	1953	CRTC1	19
ENSG00000105663	ENST00000222270	8148	MLL4	19
ENSG00000105664	ENST00000222271	2274	COMP	19
ENSG00000105668	ENST00000379013	822	UPK1A	19
ENSG00000105669	ENST00000262812	927	COPE	19
ENSG00000105671	ENST00000247003	1452	DDX49	19
ENSG00000105672	ENST00000379026	1113	ETV2	19
ENSG00000105675	ENST00000262623	3108	ATP4A	19
ENSG00000105676	ENST00000392336	1506	ARMC6	19
ENSG00000105677	ENST00000222284	675	TMEM147	19
ENSG00000105679	ENST00000222286	1227	GAPDHS	19
ENSG00000105695	ENST00000392213	1881	MAG	19
ENSG00000105696	ENST00000262817	1029	TMEM59L	19
ENSG00000105697	ENST00000222304	255	HAMP	19
ENSG00000105698	ENST00000222305	1041	USF2	19
ENSG00000105699	ENST00000361790	1950	LSR	19
ENSG00000105700	ENST00000222307	531	KXD1	19
ENSG00000105701	ENST00000453489	1326	FKBP8	19
ENSG00000105705	ENST00000247001	1938	SUGP1	19
ENSG00000105707	ENST00000262626	1254	HPN	19
ENSG00000105708	ENST00000344099	1929	ZNF14	19
ENSG00000105711	ENST00000415950	807	SCN1B	19
ENSG00000105717	ENST00000251203	1125	PBX4	19
ENSG00000105722	ENST00000222329	1647	ERF	19
ENSG00000105723	ENST00000222330	1452	GSK3A	19
ENSG00000105726	ENST00000357324	3615	ATP13A1	19
ENSG00000105732	ENST00000222339	2961	ZNF574	19
ENSG00000105737	ENST00000301218	2946	GRIK5	19
ENSG00000105738	ENST00000222345	5346	SIPA1L3	19
ENSG00000105750	ENST00000328178	1788	ZNF85	19
ENSG00000105755	ENST00000292147	765	ETHE1	19
ENSG00000105767	ENST00000222374	1167	CADM4	19
ENSG00000105771	ENST00000270066	1563	SMG9	19
ENSG00000105778	ENST00000318709	1947	AVL9	7
ENSG00000105784	ENST00000338056	1422	RUNDC3B	7
ENSG00000105792	ENST00000389297	2826	C7orf63	7
ENSG00000105793	ENST00000222511	1164	GTPBP10	7
ENSG00000105808	ENST00000262940	2412	RASA4	7
ENSG00000105810	ENST00000265734	981	CDK6	7
ENSG00000105819	ENST00000428154	1473	PMPCB	7
ENSG00000105821	ENST00000379263	1866	DNAJC2	7
ENSG00000105825	ENST00000222543	708	TFPI2	7
ENSG00000105829	ENST00000457139	400	BET1	7
ENSG00000105835	ENST00000222553	1476	NAMPT	7
ENSG00000105849	ENST00000222567	1017	TWISTNB	7
ENSG00000105851	ENST00000359195	3309	PIK3CG	7
ENSG00000105852	ENST00000265627	1065	PON3	7
ENSG00000105854	ENST00000536183	1128	PON2	7
ENSG00000105855	ENST00000222573	2310	ITGB8	7
ENSG00000105856	ENST00000222574	1545	HBP1	7
ENSG00000105865	ENST00000265720	954	DUS4L	7
ENSG00000105866	ENST00000222584	2355	SP4	7
ENSG00000105875	ENST00000354475	2244	WDR91	7
ENSG00000105877	ENST00000328843	13572	DNAH11	7
ENSG00000105879	ENST00000440859	1476	CBLL1	7
ENSG00000105880	ENST00000222598	870	DLX5	7
ENSG00000105887	ENST00000393085	357	MTPN	7
ENSG00000105889	ENST00000404369	1029	STEAP1B	7
ENSG00000105894	ENST00000348225	507	PTN	7
ENSG00000105926	ENST00000222644	1623	MPP6	7
ENSG00000105928	ENST00000342947	1491	DFNA5	7
ENSG00000105929	ENST00000310018	2523	ATP6V0A4	7
ENSG00000105939	ENST00000464606	3075	ZC3HAV1	7
ENSG00000105948	ENST00000464848	1665	TTC26	7
ENSG00000105953	ENST00000444676	3117	OGDH	7
ENSG00000105954	ENST00000222674	591	NPVF	7
ENSG00000105963	ENST00000539900	1158	ADAP1	7
ENSG00000105967	ENST00000265440	1044	TFEC	7
ENSG00000105968	ENST00000308153	387	H2AFV	7
ENSG00000105971	ENST00000222693	489	CAV2	7
ENSG00000105974	ENST00000341049	537	CAV1	7
ENSG00000105976	ENST00000318493	4227	MET	7
ENSG00000105982	ENST00000317955	1089	RNF32	7
ENSG00000105983	ENST00000354505	1596	LMBR1	7
ENSG00000105989	ENST00000265441	1083	WNT2	7
ENSG00000105991	ENST00000343060	1008	HOXA1	7
ENSG00000105993	ENST00000262177	981	DNAJB6	7
ENSG00000105996	ENST00000222718	1131	HOXA2	7
ENSG00000105997	ENST00000317201	1332	HOXA3	7
ENSG00000106003	ENST00000222725	1140	LFNG	7
ENSG00000106004	ENST00000222726	813	HOXA5	7
ENSG00000106006	ENST00000222728	702	HOXA6	7
ENSG00000106009	ENST00000340611	2466	BRAT1	7
ENSG00000106012	ENST00000402050	2088	IQCE	7
ENSG00000106013	ENST00000357099	825	ANKRD7	7
ENSG00000106018	ENST00000402066	1740	VIPR2	7
ENSG00000106025	ENST00000222747	918	TSPAN12	7
ENSG00000106028	ENST00000265304	447	SSBP1	7
ENSG00000106031	ENST00000222753	1167	HOXA13	7
ENSG00000106034	ENST00000310396	3081	CPED1	7
ENSG00000106038	ENST00000496902	1224	EVX1	7
ENSG00000106049	ENST00000265395	1011	HIBADH	7
ENSG00000106052	ENST00000409980	2442	TAX1BP1	7
ENSG00000106066	ENST00000265394	1431	CPVL	7
ENSG00000106069	ENST00000539406	1632	CHN2	7
ENSG00000106070	ENST00000398812	1785	GRB10	7
ENSG00000106077	ENST00000222800	948	ABHD11	7
